,id,hostPort,isActive,rddBlocks,memoryUsed,diskUsed,totalCores,maxTasks,activeTasks,failedTasks,completedTasks,totalTasks,totalDuration,totalGCTime,totalInputBytes,totalShuffleRead,totalShuffleWrite,isBlacklisted,maxMemory,addTime,executorLogs,memoryMetrics,blacklistedInStages,app_id
0,driver,tribarco7cm.gc18bd.tributos.local:40397,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,956615884,2021-12-17T12:09:22.283GMT,"{'stdout': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1202_01_000001/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1202_01_000001/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 956615884, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
1,3,tribarco7cm.gc18bd.tributos.local:43508,True,0,0,0,2,2,0,0,141,141,21757,734,0,1210170,808945,False,2101975449,2021-12-17T12:09:31.286GMT,"{'stdout': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1202_01_000005/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1202_01_000005/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 2101975449, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
2,2,tribarco7n03.gc18bd.tributos.local:42441,True,0,0,0,2,2,0,0,81,81,20817,750,0,436282,786169,False,2101975449,2021-12-17T12:09:32.215GMT,"{'stdout': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1202_01_000003/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1202_01_000003/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 2101975449, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
3,1,tribarco7n03.gc18bd.tributos.local:34991,True,0,0,0,2,2,0,0,89,89,20800,704,0,743902,795240,False,2101975449,2021-12-17T12:09:32.537GMT,"{'stdout': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1202_01_000002/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1202_01_000002/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 2101975449, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
4,driver,tribarco7cm.gc18bd.tributos.local:40397,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,956615884,2021-12-17T12:09:22.283GMT,"{'stdout': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1202_01_000001/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1202_01_000001/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 956615884, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
5,3,tribarco7cm.gc18bd.tributos.local:43508,True,0,0,0,2,2,0,0,141,141,21757,734,0,1210170,808945,False,2101975449,2021-12-17T12:09:31.286GMT,"{'stdout': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1202_01_000005/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1202_01_000005/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 2101975449, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
6,2,tribarco7n03.gc18bd.tributos.local:42441,True,0,0,0,2,2,0,0,81,81,20817,750,0,436282,786169,False,2101975449,2021-12-17T12:09:32.215GMT,"{'stdout': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1202_01_000003/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1202_01_000003/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 2101975449, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
7,1,tribarco7n03.gc18bd.tributos.local:34991,True,0,0,0,2,2,0,0,89,89,20800,704,0,743902,795240,False,2101975449,2021-12-17T12:09:32.537GMT,"{'stdout': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1202_01_000002/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1202_01_000002/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 2101975449, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
8,driver,tribarco7cm.gc18bd.tributos.local:33290,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,2101975449,2021-12-17T12:08:07.654GMT,"{'stdout': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1201_01_000001/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1201_01_000001/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 2101975449, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
9,3,tribarco7n03.gc18bd.tributos.local:36233,True,0,0,0,2,2,0,0,87,87,11948,220,0,247,83,False,3247335014,2021-12-17T12:08:16.025GMT,"{'stdout': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1201_01_000004/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1201_01_000004/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 3247335014, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
10,2,tribarco7n03.gc18bd.tributos.local:39465,True,0,0,0,2,2,0,0,72,72,10402,200,0,0,83,False,3247335014,2021-12-17T12:08:15.925GMT,"{'stdout': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1201_01_000003/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1201_01_000003/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 3247335014, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
11,1,tribarco7cm.gc18bd.tributos.local:42572,True,0,0,0,2,2,0,0,56,56,12298,289,0,0,81,False,3247335014,2021-12-17T12:08:14.261GMT,"{'stdout': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1201_01_000002/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1201_01_000002/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 3247335014, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
12,driver,tribarco7cm.gc18bd.tributos.local:34849,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,2101975449,2021-12-17T12:06:03.136GMT,"{'stdout': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1200_01_000001/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1200_01_000001/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 2101975449, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
13,3,tribarco7n03.gc18bd.tributos.local:38126,True,0,0,0,2,2,0,0,359,359,34362,297,0,17908,14746,False,3247335014,2021-12-17T12:06:12.116GMT,"{'stdout': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1200_01_000004/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1200_01_000004/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 3247335014, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
14,2,tribarco7n03.gc18bd.tributos.local:36597,True,0,0,0,2,2,0,0,346,346,32653,308,0,16129,14466,False,3247335014,2021-12-17T12:06:12.053GMT,"{'stdout': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1200_01_000003/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1200_01_000003/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 3247335014, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
15,1,tribarco7cm.gc18bd.tributos.local:32816,True,0,0,0,2,2,0,0,378,378,43379,597,0,9354,15283,False,3247335014,2021-12-17T12:06:10.008GMT,"{'stdout': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1200_01_000002/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1200_01_000002/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 3247335014, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
16,driver,tribarco7cm.gc18bd.tributos.local:33111,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,2101975449,2021-12-17T12:04:16.571GMT,"{'stdout': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1199_01_000001/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7cm.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1199_01_000001/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 2101975449, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
17,3,tribarco7n03.gc18bd.tributos.local:39739,True,0,0,0,2,2,0,0,391,391,43185,1398,1057968,2973127,3544255,False,3247335014,2021-12-17T12:04:26.695GMT,"{'stdout': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1199_01_000004/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1199_01_000004/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 3247335014, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
18,2,tribarco7n03.gc18bd.tributos.local:46217,True,0,0,0,2,2,0,0,418,418,43965,2334,1586952,2685802,2114674,False,3247335014,2021-12-17T12:04:26.873GMT,"{'stdout': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1199_01_000003/afiatc_proces/stdout?start=-4096', 'stderr': 'http://tribarco7n03.gc18bd.tributos.local:8042/node/containerlogs/container_1637600037062_1199_01_000003/afiatc_proces/stderr?start=-4096'}","{'usedOnHeapStorageMemory': 0, 'usedOffHeapStorageMemory': 0, 'totalOnHeapStorageMemory': 3247335014, 'totalOffHeapStorageMemory': 0}",[],application_1637600037062_1168
